name,state,pop
Los Angeles Trade Technical College,CA,12769.0
Los Angeles Valley College,CA,16127.0
The Master's College and Seminary,CA,1182.0
Los Angeles City College,CA,15953.0
Los Angeles County College of Nursing and Allied Health,CA,204.0
Los Angeles Mission College,CA,8487.0
Los Medanos College,CA,7751.0
Argosy University-The Art Institute of California-San Francisco,CA,1052.0
Loyola Marymount University,CA,6064.0
Lu Ross Academy,CA,274.0
Manchester Beauty College,CA,64.0
Tulare Beauty College,CA,41.0
Lyles Fresno College of Beauty,CA,51.0
Lytles Redwood Empire Beauty College Inc,CA,132.0
MTI Business College Inc,CA,146.0
MTI College,CA,1020.0
Brightwood College-Sacramento,CA,426.0
Brightwood College-San Diego,CA,1285.0
Brightwood College-Vista,CA,804.0
College of Marin,CA,4663.0
Marinello Schools of Beauty-Los Angeles,CA,2317.0
Marymount California University,CA,1086.0
Mendocino College,CA,3151.0
Menlo College,CA,793.0
Merced College,CA,9053.0
Merritt College,CA,5643.0
Mills College,CA,909.0
MiraCosta College,CA,13855.0
Marinello Schools of Beauty-San Francisco,CA,535.0
Mission College,CA,6737.0
Modern Beauty Academy,CA,36.0
Brightwood College-North Hollywood,CA,778.0
Modesto Junior College,CA,16253.0
Moler Barber College,CA,102.0
Middlebury Institute of International Studies at Monterey,CA,22.0
Monterey Peninsula College,CA,7067.0
Moorpark College,CA,13180.0
Mt San Antonio College,CA,26463.0
Mount Saint Mary's University,CA,2659.0
Mt San Jacinto Community College District,CA,13695.0
Mueller College,CA,107.0
Musicians Institute,CA,1065.0
Napa Valley College,CA,5752.0
Everest College-Reseda,CA,596.0
Everest College-Gardena,CA,424.0
Everest College-Alhambra,CA,439.0
Everest College-San Bernardino,CA,737.0
The National Hispanic University,CA,47.0
National Holistic Institute,CA,900.0
National University,CA,9425.0
Newschool of Architecture and Design,CA,360.0
Newberry School of Beauty,CA,122.0
North Adrian's College of Beauty Inc,CA,280.0
North-West College-Pomona,CA,268.0
North-West College-West Covina,CA,559.0
North-West College-Pasadena,CA,221.0
Notre Dame de Namur University,CA,1177.0
Occidental College,CA,2023.0
Oceanside College of Beauty,CA,77.0
Ohlone College,CA,10093.0
Orange Coast College,CA,20496.0
Otis College of Art and Design,CA,1090.0
Oxnard College,CA,6652.0
Hope International University,CA,816.0
Concorde Career College-San Diego,CA,967.0
Palo Alto University,CA,194.0
Pacific Lutheran Theological Seminary,CA,
Pacific Oaks College,CA,482.0
Pacific School of Religion,CA,
Pacific States University,CA,15.0
Pacific Union College,CA,1583.0
University of the Pacific,CA,3802.0
Palo Verde College,CA,2981.0
Palomar College,CA,22589.0
Paris Beauty College,CA,161.0
Pasadena City College,CA,24900.0
Pepperdine University,CA,3434.0
Pitzer College,CA,1076.0
Platt College-San Diego,CA,314.0
Point Loma Nazarene University,CA,2560.0
Pomona College,CA,1635.0
Porterville College,CA,3319.0
Westwood College-South Bay,CA,441.0
Professional Institute of Beauty,CA,120.0
Santa Ana College,CA,27443.0
Pardee RAND Graduate School,CA,
Shasta School of Cosmetology,CA,53.0
University of Redlands,CA,3710.0
College of the Redwoods,CA,2635.0
Salon Success Academy-Upland,CA,190.0
Salon Success Academy-Corona,CA,126.0
Rio Hondo College,CA,13915.0
Riverside City College,CA,16547.0
Argosy University-San Francisco Bay Area,CA,135.0
Rosemead Beauty School,CA,189.0
Dongguk University-Los Angeles,CA,20.0
Rudolf Steiner College,CA,36.0
Sacramento City College,CA,21506.0
Saddleback College,CA,18540.0
Samuel Merritt University,CA,522.0
San Diego City College,CA,13920.0
Golf Academy of America-Carlsbad,CA,168.0
San Diego Mesa College,CA,20838.0
San Diego Miramar College,CA,10722.0
San Diego State University,CA,27824.0
University of San Diego,CA,5656.0
San Francisco Art Institute,CA,459.0
San Francisco Conservatory of Music,CA,170.0
San Francisco State University,CA,25170.0
San Francisco Theological Seminary,CA,
University of San Francisco,CA,6745.0
San Joaquin College of Law,CA,
San Joaquin Delta College,CA,15887.0
San Joaquin Valley College-Visalia,CA,5219.0
William Jessup University,CA,1131.0
San Jose City College,CA,7654.0
San Jose State University,CA,26528.0
College of San Mateo,CA,7981.0
Santa Barbara Business College-Bakersfield,CA,562.0
Westwood College-Los Angeles,CA,1689.0
Santa Barbara Business College-Santa Maria,CA,202.0
Santa Barbara City College,CA,15826.0
Santa Clara University,CA,5447.0
Santa Monica College,CA,27795.0
Santa Rosa Junior College,CA,20334.0
Saybrook University,CA,
Scripps College,CA,962.0
Wyotech-Fremont,CA,805.0
College of the Sequoias,CA,9650.0
Shasta Bible College and Graduate School,CA,39.0
